imdbID,tmdbID,imdbRating,tmdbRating,genres,countries,year,runtime,title,overview,originalLanguage,posterURLs.original,streamingInfo.disney.us.added,streamingInfo.disney.us.leaving,streamingInfo.paramount.us.added,streamingInfo.paramount.us.leaving,streamingInfo.showtime.us.added,streamingInfo.showtime.us.leaving,streamingInfo.hulu.us.added,streamingInfo.hulu.us.leaving,streamingInfo.netflix.us.added,streamingInfo.netflix.us.leaving,streamingInfo.prime.us.added,streamingInfo.prime.us.leaving,streamingInfo.hbo.us.added,streamingInfo.hbo.us.leaving,streamingInfo.zee5.us.added,streamingInfo.zee5.us.leaving,streamingInfo.peacock.us.added,streamingInfo.peacock.us.leaving,streamingInfo.starz.us.added,streamingInfo.starz.us.leaving,streamingInfo.mubi.us.added,streamingInfo.mubi.us.leaving,streamingInfo.apple.us.added,streamingInfo.apple.us.leaving
tt0042208,16958,78,75,"Crime, Drama, 2",['US'],1950,112,The Asphalt Jungle,"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.",en,https://image.tmdb.org/t/p/original/8xsUnT0P2fJWQv9jGDhs3i9Zx2l.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0036775,996,83,81,"Crime, Drama, 2",['US'],1944,107,Double Indemnity,"A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays double if the death is accidental.",en,https://image.tmdb.org/t/p/original/kkfKLeOTo7RjS9TxHKpknlL7huS.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0401792,187,80,74,"Crime, Thriller",['US'],2005,124,Sin City,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",en,https://image.tmdb.org/t/p/original/i66G50wATMmPrvpP95f0XP6ZdVS.jpg,,,,,,,,,,,,,1656895170.0,0.0,,,,,,,,,,
tt10872600,634649,83,80,"Action, Adventure, Fantasy",['US'],2021,148,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",en,https://image.tmdb.org/t/p/original/uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg,,,,,,,,,,,,,,,,,,,1657905910.0,32503697999.0,,,,
tt0106469,9702,79,80,"Crime, Drama",['US'],1993,190,Bound by Honor,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.",en,https://image.tmdb.org/t/p/original/gvP6R6juhe2IpCG7QGDgjyUvm0g.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0046816,10178,77,71,"Drama, War",['US'],1954,124,The Caine Mutiny,"When a US Naval captain shows signs of mental instability that jeopardize his ship, the first officer relieves him of command and faces court martial for mutiny.",en,https://image.tmdb.org/t/p/original/vuO4Z3wOWVlhq35MS9asZeT9rVp.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt8503618,556574,84,83,"1, Drama, History",['US'],2020,160,Hamilton,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",en,https://image.tmdb.org/t/p/original/h1B7tW0t399VDjAcWJh8m87469b.jpg,1652523258.0,0.0,,,,,,,,,,,,,,,,,,,,,,
tt0063522,805,80,78,"Drama, Horror",['US'],1968,138,Rosemary's Baby,"A young couple, Rosemary and Guy, moves into an infamous New York apartment building, known by frightening legends and mysterious events, with the purpose of starting a family.",en,https://image.tmdb.org/t/p/original/s8pdaHjxNPLXIA1WjSTWm00RJTz.jpg,,,1664908145.0,1669870800.0,1662027333.0,1669852740.0,,,,,,,,,,,,,,,,,,
tt3544112,369557,79,79,"Comedy, Drama, Music","['US', 'GB', 'IE']",2016,106,Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,en,https://image.tmdb.org/t/p/original/sUWpVlrvzU2SJbnVZqIeKulPKwk.jpg,,,,,,,,,,,,,,,,,,,,,,,,
tt0045555,14580,79,76,"Crime, 2, Thriller",['US'],1953,89,The Big Heat,Tough cop Dave Bannion takes on a politically powerful crime syndicate.,en,https://image.tmdb.org/t/p/original/n1xdAX2g6PU3aqQXmZtY9gXvvEz.jpg,,,,,,,,,,,,,,,,,,,,,,,,
